doc_id,committee_name,session_date,source_url,session_title,utterance_from,utterance_to,subject_label,tags
25_ptv_2559210,ועדת_הכספים,2023-05-04,https://fs.knesset.gov.il/25/Committees/25_ptv_2559210.doc,"פרק י' (צמצום השימוש במזומן) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2023 ו-2024), התשפ""ג-2023,  מ/1612",1,47,הצגת הצעת חוק צמצום השימוש במזומן,מזומן | פשיעה | הון שחור
25_ptv_2559210,ועדת_הכספים,2023-05-04,https://fs.knesset.gov.il/25/Committees/25_ptv_2559210.doc,"פרק י' (צמצום השימוש במזומן) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2023 ו-2024), התשפ""ג-2023,  מ/1612",48,82,עמדות גורמי האכיפה / נגישות מגזר ערבי לבנקים,מגזר ערבי | בנק ישראל | רשות הלבנת הון
25_ptv_2559210,ועדת_הכספים,2023-05-04,https://fs.knesset.gov.il/25/Committees/25_ptv_2559210.doc,"פרק י' (צמצום השימוש במזומן) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2023 ו-2024), התשפ""ג-2023,  מ/1612",83,140,פרטי ההסדר: חובת דיווח ואיסור החזקת מזומן,חובת דיווח | עמדות חברי כנסת
25_ptv_2559210,ועדת_הכספים,2023-05-04,https://fs.knesset.gov.il/25/Committees/25_ptv_2559210.doc,"פרק י' (צמצום השימוש במזומן) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2023 ו-2024), התשפ""ג-2023,  מ/1612",141,188,"עמדת משרד המשפטים ועמדת היו""ר המסכמת","משרד המשפטים | עמדת יו""ר"
25_ptv_1622644,ועדת_הכספים,2023-01-04,https://fs.knesset.gov.il/25/Committees/25_ptv_1622644.doc,"בקשה לאישור השקעת המדינה בחברת נצר השרון בע""מ בהתאם לסעיף 10 לחוק החברות הממשלתיות, התשל""ה- 1975",1,12,פתיחת ישיבה / שיחה על הר הבית,הר הבית | פתיחה
25_ptv_1622644,ועדת_הכספים,2023-01-04,https://fs.knesset.gov.il/25/Committees/25_ptv_1622644.doc,"בקשה לאישור השקעת המדינה בחברת נצר השרון בע""מ בהתאם לסעיף 10 לחוק החברות הממשלתיות, התשל""ה- 1975",13,51,סקירת חברת נצר השרון ובקשת תקציב שוטף 2022,נצר השרון | תקציב שוטף | חברות ממשלתיות
25_ptv_1622644,ועדת_הכספים,2023-01-04,https://fs.knesset.gov.il/25/Committees/25_ptv_1622644.doc,"בקשה לאישור השקעת המדינה בחברת נצר השרון בע""מ בהתאם לסעיף 10 לחוק החברות הממשלתיות, התשל""ה- 1975",52,201,נבחרת הדירקטורים לחברות ממשלתיות – ייצוג וקריטריונים,נבחרת דירקטורים | ייצוג חרדים | ייצוג עולים
25_ptv_1622644,ועדת_הכספים,2023-01-04,https://fs.knesset.gov.il/25/Committees/25_ptv_1622644.doc,"בקשה לאישור השקעת המדינה בחברת נצר השרון בע""מ בהתאם לסעיף 10 לחוק החברות הממשלתיות, התשל""ה- 1975",202,267,בחינת פרטי תקציב 2022 ואישור הבקשה,תקציב | שכר דירה | ביטוחים | אישור
25_ptv_2508164,ועדת_הכספים,2023-04-30,https://fs.knesset.gov.il/25/Committees/25_ptv_2508164.doc,"הצעת תקנות מס הכנסה (שיעור המס על הכנסה בעד עבודה במשמרות) (תיקון), התשפ""ג-2023",1,70,תקנות מס הכנסה – שיעור מס על עבודה במשמרות,מס הכנסה | עבודה במשמרות | הוראת שעה
25_ptv_2508164,ועדת_הכספים,2023-04-30,https://fs.knesset.gov.il/25/Committees/25_ptv_2508164.doc,"הצעת תקנות מס הכנסה (שיעור המס על הכנסה בעד עבודה במשמרות) (תיקון), התשפ""ג-2023",71,87,תקנות פחת מואץ – עיכוב ודרישה להסדרה,פחת מואץ | השקעות
25_ptv_12816797,ועדת_הכספים,2026-02-04,https://fs.knesset.gov.il/25/Committees/25_ptv_12816797.doc,"הצעת חוק הטבות מס ליישובים (תיקוני חקיקה), התשפ""ו-2025 (מ/1901)",1,64,הצעת חוק הטבות מס ליישובים (תיקוני חקיקה),הטבות מס | יישובים | חוק תיקוני חקיקה
25_ptv_5767892,ועדת_הכספים,2025-01-21,https://fs.knesset.gov.il/25/Committees/25_ptv_5767892.doc,"צו תעריף המכס והפטורים ומס קנייה על טובין (הוראת שעה מס'...), התשפ""ד-2024 (כוספאות)",1,21,צו תעריף המכס על טובין (הוראת שעה) – כוספא,מכס | טובין | הוראת שעה | כוספא
25_ptv_11881863,ועדת_הכספים,2026-02-24,https://fs.knesset.gov.il/25/Committees/25_ptv_11881863.doc,,1,150,"הצגת פרק מס הרכוש – עקרונות, קרקע, ועמדות ראשוניות",מס רכוש | חוק ההסדרים | קרקע
25_ptv_11881863,ועדת_הכספים,2026-02-24,https://fs.knesset.gov.il/25/Committees/25_ptv_11881863.doc,,151,400,"מס רכוש – קרקעות לא מנוצלות, מגזר ערבי, חריגים",מס רכוש | קרקע לא מנוצלת | מגזר ערבי
25_ptv_11881863,ועדת_הכספים,2026-02-24,https://fs.knesset.gov.il/25/Committees/25_ptv_11881863.doc,,401,650,"מס רכוש – מנגנון הגבייה, הסמכה, עמדות נוספות",מס רכוש | מנגנון גבייה | הסמכה
25_ptv_11881863,ועדת_הכספים,2026-02-24,https://fs.knesset.gov.il/25/Committees/25_ptv_11881863.doc,,651,850,מס על סיגריות ומוצרי עישון (סעיפים נוספים מחוק ההסדרים),מס סיגריות | עישון | חוק ההסדרים
25_ptv_11881863,ועדת_הכספים,2026-02-24,https://fs.knesset.gov.il/25/Committees/25_ptv_11881863.doc,,851,1081,סיכום ואישור מס רכוש – נושאים שיירים,מס רכוש | אישור | נושאים שיירים
25_ptv_5927227,ועדת_הכספים,2025-01-27,https://fs.knesset.gov.il/25/Committees/25_ptv_5927227.doc,"סעיפים 11 ו-13 (שינוי מודל החשבוניות הפיקטיביות) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2025), התשפ""ה-2024",1,24,פתיחה – מצב שר האוצר / הקשר פוליטי,פתיחה | שר האוצר
25_ptv_5927227,ועדת_הכספים,2025-01-27,https://fs.knesset.gov.il/25/Committees/25_ptv_5927227.doc,"סעיפים 11 ו-13 (שינוי מודל החשבוניות הפיקטיביות) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2025), התשפ""ה-2024",25,657,שינוי מודל חשבוניות פיקטיביות – מניעת הונאת מס,"חשבוניות פיקטיביות | הונאת מס | מע""מ | גוגל"
25_ptv_3920438,ועדת_הכספים,2024-01-01,https://fs.knesset.gov.il/25/Committees/25_ptv_3920438.doc,"דיון מעקב אחר דיון מהיר בנושא: מצב שוק ההון והבורסה בעקבות המלחמה. הצעתם של חברי הכנסת אליהו רביבו, אורית פרקש הכהן",1,5,פתיחה – נציגת משפחת חטוף,חטופים | פתיחה
25_ptv_3920438,ועדת_הכספים,2024-01-01,https://fs.knesset.gov.il/25/Committees/25_ptv_3920438.doc,"דיון מעקב אחר דיון מהיר בנושא: מצב שוק ההון והבורסה בעקבות המלחמה. הצעתם של חברי הכנסת אליהו רביבו, אורית פרקש הכהן",6,178,שוק ההון והבורסה בעקבות המלחמה – ניתוח ומלצות,שוק ההון | בורסה | מלחמה | השקעות
25_ptv_3727667,ועדת_הכספים,2023-11-29,https://fs.knesset.gov.il/25/Committees/25_ptv_3727667.doc,שינויים בתקציב לשנת 2023,1,270,"שינויים תקציביים – תרבות, ספורט ומרכזי קהילה",תרבות | ספורט | שינויים תקציביים
25_ptv_3727667,ועדת_הכספים,2023-11-29,https://fs.knesset.gov.il/25/Committees/25_ptv_3727667.doc,שינויים בתקציב לשנת 2023,271,361,שינויים תקציביים – משרד האנרגיה,אנרגיה | שינויים תקציביים
25_ptv_3599853,ועדת_הכספים,2023-11-05,https://fs.knesset.gov.il/25/Committees/25_ptv_3599853.doc,"הצעת חוק התכנית לסיוע כלכלי (הוראת שעה – חרבות ברזל), התשפ""ד-2023 (מ/1670) – הכנה לקריאה שנייה ושלישית",1,100,מסגרת הסיוע הכלכלי לעסקים – חרבות ברזל,חרבות ברזל | סיוע לעסקים | שר הכלכלה
25_ptv_3599853,ועדת_הכספים,2023-11-05,https://fs.knesset.gov.il/25/Committees/25_ptv_3599853.doc,"הצעת חוק התכנית לסיוע כלכלי (הוראת שעה – חרבות ברזל), התשפ""ד-2023 (מ/1670) – הכנה לקריאה שנייה ושלישית",101,450,"פרטי חוק הסיוע – מענקים, שכר, חל""ת, עוסקים פטורים","מענקים | שכר | חל""ת | עוסק פטור"
25_ptv_3599853,ועדת_הכספים,2023-11-05,https://fs.knesset.gov.il/25/Committees/25_ptv_3599853.doc,"הצעת חוק התכנית לסיוע כלכלי (הוראת שעה – חרבות ברזל), התשפ""ד-2023 (מ/1670) – הכנה לקריאה שנייה ושלישית",451,866,"קריאת סעיפי החוק – הגדרות, חישוב הנזק, הצבעה",קריאת חוק | הגדרות | הצבעה
25_ptv_2742206,ועדת_הכספים,2023-06-06,https://fs.knesset.gov.il/25/Committees/25_ptv_2742206.doc,"הצעת תקנות מס הכנסה (ניכוי הוצאות רכב) (תיקון מס'...), התשפ""ג-2023; תקנות מס ערך מוסף (תיקון מס'...), התשפ""ג-2023; צו הבלו על דלק (פטור והישבון) (תיקון מס'...), התשפ""ג-2023",1,49,תקנות מכס – ביטול הפחתות / עמדות תעשיינים,מכס | תעשיינים | פלדה | אלומיניום
25_ptv_2742206,ועדת_הכספים,2023-06-06,https://fs.knesset.gov.il/25/Committees/25_ptv_2742206.doc,"הצעת תקנות מס הכנסה (ניכוי הוצאות רכב) (תיקון מס'...), התשפ""ג-2023; תקנות מס ערך מוסף (תיקון מס'...), התשפ""ג-2023; צו הבלו על דלק (פטור והישבון) (תיקון מס'...), התשפ""ג-2023",50,200,תקנות ניכוי הוצאות רכב – כולל רכב חשמלי,"ניכוי הוצאות רכב | רכב חשמלי | מע""מ"
25_ptv_5849813,ועדת_הכספים,2025-02-25,https://fs.knesset.gov.il/25/Committees/25_ptv_5849813.doc,"סעיף 9(1) ו-14 (הכרה בהוצאות הכרוכות בהשבחת נכס) מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2025), התשפ""ה-2024,  מ/1822",1,156,הכרה בהוצאות השבחת נכס במס שבח – עקרונות וקבלות,מס שבח | השבחת נכס | הוצאות מוכרות
25_ptv_5927206,ועדת_הכספים,2025-01-27,https://fs.knesset.gov.il/25/Committees/25_ptv_5927206.doc,הצעת תקציב ועדת הבחירות המרכזית לכנסת לשנת 2025,1,5,פתיחה – נציגת משפחת חטוף,חטופים | פתיחה
25_ptv_5927206,ועדת_הכספים,2025-01-27,https://fs.knesset.gov.il/25/Committees/25_ptv_5927206.doc,הצעת תקציב ועדת הבחירות המרכזית לכנסת לשנת 2025,6,168,תקציב ועדת הבחירות המרכזית לשנת 2025,ועדת בחירות | תקציב | ממוחשב
25_ptv_9816649,ועדת_הכספים,2025-11-03,https://fs.knesset.gov.il/25/Committees/25_ptv_9816649.doc,שינויים בתקציב לשנת 2025,1,5,פתיחה – נציג משפחה שכולה,שכול | פתיחה
25_ptv_9816649,ועדת_הכספים,2025-11-03,https://fs.knesset.gov.il/25/Committees/25_ptv_9816649.doc,שינויים בתקציב לשנת 2025,6,200,שינויים תקציביים – ביטחון ואבטחה,ביטחון | אבטחה | שינויים תקציביים
25_ptv_9816649,ועדת_הכספים,2025-11-03,https://fs.knesset.gov.il/25/Committees/25_ptv_9816649.doc,שינויים בתקציב לשנת 2025,201,400,שינויים תקציביים – מחקר ופיתוח / משרד המדע,מחקר | מדע | שינויים תקציביים
25_ptv_9816649,ועדת_הכספים,2025-11-03,https://fs.knesset.gov.il/25/Committees/25_ptv_9816649.doc,שינויים בתקציב לשנת 2025,401,580,שינויים תקציביים – רשויות מקומיות ושירותים,רשויות מקומיות | שינויים תקציביים
25_ptv_2412041,ועדת_הכספים,2023-04-16,https://fs.knesset.gov.il/25/Committees/25_ptv_2412041.doc,"הצעת חוק התקציב לשנת הכספים 2023, התשפ""ג-2023,  מ/1610",1,182,הצגת תקציב 2023 – דיון כללי עם שר האוצר סמוטריץ',תקציב 2023 | שר האוצר | עדיפויות
25_ptv_10897864,ועדת_הכספים,2025-12-31,https://fs.knesset.gov.il/25/Committees/25_ptv_10897864.doc,שינויים בתקציב לשנת 2025,1,120,ויכוח נוהלי – אופן הגשת פניות תקציביות ושקיפות,נוהל | שקיפות | פניות תקציביות
25_ptv_10897864,ועדת_הכספים,2025-12-31,https://fs.knesset.gov.il/25/Committees/25_ptv_10897864.doc,שינויים בתקציב לשנת 2025,121,619,"העברות תקציביות שונות – חינוך, ביטחון, רשויות",העברות תקציביות | חינוך | ביטחון
25_ptv_4940154,ועדת_הכספים,2024-07-21,https://fs.knesset.gov.il/25/Committees/25_ptv_4940154.doc,"הצעת תקנות המדידות (אגרות) (תיקון), התשפ""ד - 2024",1,155,תקנות המדידות – העלאת אגרות ותעריפים,מדידות | אגרות | תעריפים
25_ptv_1644940,ועדת_הכספים,2023-01-17,https://fs.knesset.gov.il/25/Committees/25_ptv_1644940.doc,"הצעת החלטת שכר שרים וסגני שרים (הוראת שעה ועדכון השכר), התשפ""ג-2023 הצעת החלטת משכורת נשיא המדינה (הוראת שעה ועדכון השכר), התשפ""ג-2023. החלטת משכורת נושאי משרה שיפוטית (הוראת שעה ועדכון השכר), התשפ""ג-2023",1,94,הצעת החלטת שכר שרים וסגני שרים (הוראת שעה),שכר שרים | שכר שופטים | הוראת שעה
25_ptv_1637437,ועדת_הכספים,2023-01-16,https://fs.knesset.gov.il/25/Committees/25_ptv_1637437.doc,סיוע לענף גידול הבטטות בעקבות משבר נגיף הקורונה,1,116,סיוע לענף גידול הבטטות – קורונה ושמיטה,בטטות | חקלאות | קורונה | שמיטה
25_ptv_2430648,ועדת_הכספים,2023-04-23,https://fs.knesset.gov.il/25/Committees/25_ptv_2430648.doc,"פרק ז' (בנקאות ואשראי) רק סעיפים 26-25 (בעניין חוב אשראי לגיוס) מתוך הצעת חוק התכנית הכלכלית (תיקוני חקיקה ליישום המדיניות הכלכלית לשנות התקציב 2023 ו-2024), התשפ""ג-2023, מ/1612",1,124,בנקאות ואשראי – חוב אשראי לגיוס (חוק ההסדרים),בנקאות | אשראי | גיוס | חוק ההסדרים
25_ptv_3500165,ועדת_הכספים,2023-10-31,https://fs.knesset.gov.il/25/Committees/25_ptv_3500165.doc,"היערכות הממשלה למתן סיוע לענף הבינוי והשיכון בעקבות הלחימה, בהשתתפות שר הבינוי והשיכון, מר יצחק גולדקנופף",1,70,שר הבינוי – מסגרת הסיוע לענף הבנייה בעקבות הלחימה,בינוי | לחימה | שר הבינוי
25_ptv_3500165,ועדת_הכספים,2023-10-31,https://fs.knesset.gov.il/25/Committees/25_ptv_3500165.doc,"היערכות הממשלה למתן סיוע לענף הבינוי והשיכון בעקבות הלחימה, בהשתתפות שר הבינוי והשיכון, מר יצחק גולדקנופף",71,170,מקלטים ציבוריים ותשתיות צפון / דרום,מקלטים | צפון | דרום | תשתיות
25_ptv_3500165,ועדת_הכספים,2023-10-31,https://fs.knesset.gov.il/25/Committees/25_ptv_3500165.doc,"היערכות הממשלה למתן סיוע לענף הבינוי והשיכון בעקבות הלחימה, בהשתתפות שר הבינוי והשיכון, מר יצחק גולדקנופף",171,235,עובדים זרים בענף הבנייה / פתרונות תקציביים,עובדים זרים | בנייה | תקציב
25_ptv_3652737,ועדת_הכספים,2023-11-15,https://fs.knesset.gov.il/25/Committees/25_ptv_3652737.doc,"הצעת תקנות מס רכוש וקרן פיצויים (תשלום פיצויים) (נזק מלחמה ונזק עקיף) (חרבות ברזל)(הוראת שעה), התשפ""ד-2023",1,110,פתיחה – עקרונות תקנות פיצויי מס רכוש לנזקי מלחמה,מס רכוש | פיצויים | נזק מלחמה
25_ptv_3652737,ועדת_הכספים,2023-11-15,https://fs.knesset.gov.il/25/Committees/25_ptv_3652737.doc,"הצעת תקנות מס רכוש וקרן פיצויים (תשלום פיצויים) (נזק מלחמה ונזק עקיף) (חרבות ברזל)(הוראת שעה), התשפ""ד-2023",111,310,פיצויים – יישובי עוטף עזה ופיקוד דרום,עוטף עזה | פיקוד דרום | פיצויים
25_ptv_3652737,ועדת_הכספים,2023-11-15,https://fs.knesset.gov.il/25/Committees/25_ptv_3652737.doc,"הצעת תקנות מס רכוש וקרן פיצויים (תשלום פיצויים) (נזק מלחמה ונזק עקיף) (חרבות ברזל)(הוראת שעה), התשפ""ד-2023",311,582,"פרטי תקנות – נזק עקיף, חקלאות, רשויות מקומיות",נזק עקיף | חקלאות | רשויות מקומיות
25_ptv_5429168,ועדת_הכספים,2024-12-15,https://fs.knesset.gov.il/25/Committees/25_ptv_5429168.doc,"הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2025) (הקפאת עדכוני מס ומס יסף), התשפ""ה-2024 (סעיפים 1(2), (3), 2-4 – הקפאת עדכוני מס ומס יסף (מ/1799)",1,300,מס הכנסה – שינויי מדרגות ונקודות זיכוי,מס הכנסה | מדרגות | נקודות זיכוי
25_ptv_5429168,ועדת_הכספים,2024-12-15,https://fs.knesset.gov.il/25/Committees/25_ptv_5429168.doc,"הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2025) (הקפאת עדכוני מס ומס יסף), התשפ""ה-2024 (סעיפים 1(2), (3), 2-4 – הקפאת עדכוני מס ומס יסף (מ/1799)",301,600,מענק עבודה והטבות לשכירים בשכר נמוך,מענק עבודה | שכר נמוך | הטבות
25_ptv_5429168,ועדת_הכספים,2024-12-15,https://fs.knesset.gov.il/25/Committees/25_ptv_5429168.doc,"הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2025) (הקפאת עדכוני מס ומס יסף), התשפ""ה-2024 (סעיפים 1(2), (3), 2-4 – הקפאת עדכוני מס ומס יסף (מ/1799)",601,900,מס יסף – מיסוי בעלי הכנסות גבוהות,מס יסף | הכנסות גבוהות
25_ptv_5429168,ועדת_הכספים,2024-12-15,https://fs.knesset.gov.il/25/Committees/25_ptv_5429168.doc,"הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2025) (הקפאת עדכוני מס ומס יסף), התשפ""ה-2024 (סעיפים 1(2), (3), 2-4 – הקפאת עדכוני מס ומס יסף (מ/1799)",901,1178,הקפאת מס הכנסה / מיסוי דיבידנדים ורווחים,הקפאת מס | דיבידנדים | רווחים
25_ptv_11053828,ועדת_הכספים,2025-12-30,https://fs.knesset.gov.il/25/Committees/25_ptv_11053828.doc,1. הצעת אישור מוסדות ציבור לעניין סעיף 46 לפקודת מס הכנסה רשימה שסימנה 2025-004703,1,80,פתיחה – ויכוח על הר הבית ומוסדות ציבור,הר הבית | מוסדות ציבור | פתיחה
25_ptv_11053828,ועדת_הכספים,2025-12-30,https://fs.knesset.gov.il/25/Committees/25_ptv_11053828.doc,1. הצעת אישור מוסדות ציבור לעניין סעיף 46 לפקודת מס הכנסה רשימה שסימנה 2025-004703,81,286,אישור מוסדות ציבור לסעיף 46 פקודת מס הכנסה,סעיף 46 | מוסדות ציבור | עמותות | מס הכנסה
25_ptv_1622777,ועדת_הכספים,2023-01-10,https://fs.knesset.gov.il/25/Committees/25_ptv_1622777.doc,"הצעת מינוי מנהל כללי לכנסת בהתאם לסעיף 12 ולסעיף 41 לחוק שירות המדינה (מינויים), התשי""ט – 1959",1,156,מינוי מנהל כללי לכנסת – דיון ואישור,מנהל כללי | כנסת | מינוי
25_ptv_10438035,ועדת_הכספים,2025-12-01,https://fs.knesset.gov.il/25/Committees/25_ptv_10438035.doc,שינויים בתקציב לשנת 2025,1,100,שינויים תקציביים – מחקר מדעי והסברה,מחקר | מדע | הסברה | שינויים תקציביים
25_ptv_10438035,ועדת_הכספים,2025-12-01,https://fs.knesset.gov.il/25/Committees/25_ptv_10438035.doc,שינויים בתקציב לשנת 2025,101,213,שינויים תקציביים – רשויות מקומיות ותוכניות הבראה,רשויות מקומיות | הבראה | שינויים תקציביים
25_ptv_3418488,ועדת_הכספים,2023-07-25,https://fs.knesset.gov.il/25/Committees/25_ptv_3418488.doc,"ביטול קיזוז קצבת הנכות לניצולי שואה בגין תשלומי פיצויים אחרים. 
הצעתם של חברי הכנסת אליהו ברוכי, סימון מושיאשוילי, עופר כסיף, מיכאל ביטון, מירב כהן, אפרת רייטן, יצחק פינדרוס, משה רוט, יעקב אשר, משה פסל, ארז מלול, אורנה ברביבאי, מירב בן-ארי, רם בן-ברק, יואב סגלוביץ', שלום דנינו, נאור שירי, דבי ביטון, יוראי להב הרצנו ושרון ניר",1,30,פתיחה – הקשר לאירועים שוטפים (הפגנות הרפורמה),פתיחה | רפורמה משפטית | הפגנות
